tradingClass,symbol,exchange,ex_symbol,data_symbol,hold_cycle,priced_cycle,roll_offset,expiry_offset,carry_offset,open,close,session,description
FSTU,SX6P,EUREX,FSTU,STU,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Utilities
FSXE,ESTX50,EUREX,FESX,DSX,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,Euro STOXX50
CN,XINA50,SGX,CN,CN,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-10,15,1,10:00,15:59,16,FTSE/Xinhua China A50
FGBX,GBX,EUREX,FGBX,FGBX,HMUZ,HMUZ,-5,6,1,01:15,21:05,21,Euro Buxl (15 - 30 Year Bond)
FSTS,SXPP,EUREX,FSTS,FSTS,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Basic Resources Index
FXXP,DJ600,EUREX,FXXP,FXXP,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,Dow Jones STOXX 600 Index
FESX,ESTX50,EUREX,FESX,DSX,HMUZ,HMUZ,-5,15,1,01:15,21:05,21,Euro STOXX50
FSTH,SXDP,EUREX,FSTH,STH,HMUZ,HMUZ,-5,15,1,08:00,21:05,21,Dow Jones STOXX 600 Healthcare
LE,LE,CME,LE,GLA,GJMQVZ,GJMQVZ,-60,28,-1,15:30,19:05,19,Live Cattle
OJ,OJ,NYBOT,OJ,OJA,FHKNUX,FHKNUX,-40,9,1,14:00,19:00,19,Orange Juice
CT,CT,NYBOT,CT,CTA,HKNZ,HKNVZ,-60,6,-1,06:00,19:20,19,Cotton
KE,KE,CBOT,KE,KWA,HKNUZ,HKNUZ,-90,14,-1,15:30,19:20,19,Hard Red Winter Wheat -KCBOT-
RS,RS,NYBOT,RS,WR,FHKNX,FHKNX,-60,13,-1,06:00,19:20,19,Canola
MIX,IBEX,MEFFRV,MIX,IB,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-10,15,1,08:00,19:00,19,IBEX 35 Index Mini
XK,YK,CBOT,XK,SSA,FHKNQUX,FHKNQUX,-45,13,1,15:30,19:20,19,Mini Sized Soybean Futures
ZW,ZW,CBOT,ZW,WHA,Z,HKNUZ,-60,13,-1,15:30,19:20,19,Wheat Futures
XW,YW,CBOT,XW,WHA,HKNUZ,HKNUZ,-30,13,1,15:30,19:20,19,Mini Sized Wheat Futures
ZL,ZL,CBOT,ZL,BOA,FHKNQUVZ,FHKNQUVZ,-90,14,-1,15:30,19:20,19,Soybean Oil Futures
MHI,MHI,HKFE,MHI,HSI,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-5,23,1,10:15,15:59,16,Mini Hang Seng Index
ZM,ZM,CBOT,ZM,SMA,FHKNQUVZ,FHKNQUVZ,-90,14,-1,15:30,19:20,19,Soybean Meal Futures
ZS,ZS,CBOT,ZS,SSA,X,FHKNQUX,-60,13,-1,15:30,19:20,19,Soybean Futures
ZC,ZC,CBOT,ZC,CAN,Z,HKNUZ,-60,14,-1,15:30,19:20,19,Corn Futures
MCH,MCH|HK,HKFE,MCH,HHI,FGHJKMNQUVXZ,FGHJKMNQUVXZ,-10,28,1,10:15,15:59,16,Mini-Hang Seng China Enterprises Index
HE,HE,CME,HE,LHA,GJMNQVZ,GJKMNQVZ,-60,13,-1,15:30,19:05,19,Lean Hogs
GF,GF,CME,GF,FCA,FHJKQUVX,FHJKQUVX,-90,15,-1,15:30,19:05,19,Feeder Cattle
R,R,ICEEU,R,QGA,HMUZ,HMUZ,-36,28,1,09:00,18:00,17,Long Gilt
TFM,TFM,ENDEX,TFM,TFM,HMUZ,HMUZ,-60,-4,-1,08:00,17:00,17,Dutch TTF Natural Gas Futures
